key,value,date
Ruby,0.0017357763,2010-01-01
Ruby,0.0019738465,2010-02-01
Ruby,0.0020675396,2010-03-01
Ruby,0.0008900757,2010-04-01
Ruby,0.0012010569,2010-05-01
Ruby,0.0032641641,2010-06-01
Ruby,0.0048730444,2010-07-01
Ruby,0.0042918455,2010-08-01
Ruby,0.0043850491,2010-09-01
Ruby,0.0016938387,2010-10-01
Ruby,0.0018101368,2010-11-01
Ruby,0.0016632017,2010-12-01
Ruby,0.0018484288,2011-01-01
Ruby,0.0047827275,2011-02-01
Ruby,0.0019291054,2011-03-01
Ruby,0.0021378942,2011-04-01
Ruby,0.0012547051,2011-05-01
Ruby,0.0022134776,2011-06-01
Ruby,0.0032453789,2011-07-01
Ruby,0.0014532963,2011-08-01
Ruby,0.0013702043,2011-09-01
Ruby,0.0012387387,2011-10-01
Ruby,0.0058528428,2011-11-01
Ruby,0.0020153672,2011-12-01
Ruby,0.0020454819,2012-01-01
Ruby,0.0039509537,2012-02-01
Ruby,0.0024357839,2012-03-01
Ruby,0.0018858436,2012-04-01
Ruby,0.001653944,2012-05-01
Ruby,0.0017526564,2012-06-01
Ruby,0.0012956725,2012-07-01
Ruby,0.0023820867,2012-08-01
Ruby,0.0005674725,2012-09-01
Ruby,0.0013319672,2012-10-01
Ruby,0.0038959774,2012-11-01
Ruby,0.0009434951,2012-12-01
Ruby,0.001375651,2013-01-01
Ruby,0.0028382214,2013-02-01
Ruby,0.0019085791,2013-03-01
Ruby,0.0011734794,2013-04-01
Ruby,0.0018161639,2013-05-01
Ruby,0.0017600741,2013-06-01
Ruby,0.0014282799,2013-07-01
Ruby,0.0014550393,2013-08-01
Ruby,0.0011379552,2013-09-01
Ruby,0.0014303594,2013-10-01
Ruby,0.0010771026,2013-11-01
Ruby,0.0014964459,2013-12-01
Ruby,0.000913849,2014-01-01
Ruby,0.0010057833,2014-02-01
Ruby,0.0016649489,2014-03-01
Ruby,0.0011064395,2014-04-01
Ruby,0.0019823963,2014-05-01
Ruby,0.0009637891,2014-06-01
Ruby,0.001434949,2014-07-01
Ruby,0.0022086306,2014-08-01
Ruby,0.0009678534,2014-09-01
Ruby,0.0009894459,2014-10-01
Ruby,0.0022045855,2014-11-01
Ruby,0.001349022,2014-12-01
Ruby,0.0008131607,2015-01-01
Ruby,0.0016041708,2015-02-01
Ruby,0.0009846827,2015-03-01
Ruby,0.0008690614,2015-04-01
Ruby,0.0020170859,2015-05-01
Ruby,0.000500584,2015-06-01
Ruby,0.0005290242,2015-07-01
Ruby,0.0005014686,2015-08-01
React,0.0011571842,2010-01-01
React,0.0007401925,2010-02-01
React,0.0011486331,2010-03-01
React,0.0004450378,2010-04-01
React,0.0002402114,2010-05-01
React,0.0009326183,2010-06-01
React,0.000512952,2010-07-01
React,0,2010-08-01
React,0.0006264356,2010-09-01
React,0.0008469193,2010-10-01
React,0.0004022526,2010-11-01
React,0.0016632017,2010-12-01
React,0.0015403574,2011-01-01
React,0.0012298442,2011-02-01
React,0.0022908126,2011-03-01
React,0.0021378942,2011-04-01
React,0.0013941168,2011-05-01
React,0.0019675357,2011-06-01
React,0.0011288274,2011-07-01
React,0.0023781213,2011-08-01
React,0.0016193323,2011-09-01
React,0.0013513514,2011-10-01
React,0.0011944577,2011-11-01
React,0.0010076836,2011-12-01
React,0.0004812899,2012-01-01
React,0.0010899183,2012-02-01
React,0.0012178919,2012-03-01
React,0.0007543374,2012-04-01
React,0.0013994911,2012-05-01
React,0.0010954102,2012-06-01
React,0.0009069707,2012-07-01
React,0.0013101477,2012-08-01
React,0.0007944615,2012-09-01
React,0.0004098361,2012-10-01
React,0.0008765949,2012-11-01
React,0.0008386623,2012-12-01
React,0.0010808686,2013-01-01
React,0.0012614317,2013-02-01
React,0.0010497185,2013-03-01
React,0.0012712693,2013-04-01
React,0.0025224498,2013-05-01
React,0.0034275127,2013-06-01
React,0.0024484799,2013-07-01
React,0.002813076,2013-08-01
React,0.0025385154,2013-09-01
React,0.0020561416,2013-10-01
React,0.0038596176,2013-11-01
React,0.0026187804,2013-12-01
React,0.0038215502,2014-01-01
React,0.0025144581,2014-02-01
React,0.0019027987,2014-03-01
React,0.0038356569,2014-04-01
React,0.0041233843,2014-05-01
React,0.0024094727,2014-06-01
React,0.0073341837,2014-07-01
React,0.0049269453,2014-08-01
React,0.0060836502,2014-09-01
React,0.0049472296,2014-10-01
React,0.0062463257,2014-11-01
React,0.0050213595,2014-12-01
React,0.018327391,2015-01-01
React,0.0118976004,2015-02-01
React,0.0238512035,2015-03-01
React,0.0161066049,2015-04-01
React,0.0148908401,2015-05-01
React,0.010845987,2015-06-01
React,0.0185158467,2015-07-01
React,0.0107457554,2015-08-01
Angular,0,2010-01-01
Angular,0.0002467308,2010-02-01
Angular,0.0002297266,2010-03-01
Angular,0,2010-04-01
Angular,0,2010-05-01
Angular,0,2010-06-01
Angular,0,2010-07-01
Angular,0.0004517732,2010-08-01
Angular,0,2010-09-01
Angular,0,2010-10-01
Angular,0,2010-11-01
Angular,0,2010-12-01
Angular,0,2011-01-01
Angular,0,2011-02-01
Angular,0,2011-03-01
Angular,0,2011-04-01
Angular,0,2011-05-01
Angular,0,2011-06-01
Angular,0,2011-07-01
Angular,0,2011-08-01
Angular,0.000124564,2011-09-01
Angular,0,2011-10-01
Angular,0,2011-11-01
Angular,0,2011-12-01
Angular,0,2012-01-01
Angular,0.0001362398,2012-02-01
Angular,0.0001107174,2012-03-01
Angular,0,2012-04-01
Angular,0,2012-05-01
Angular,0.000109541,2012-06-01
Angular,0,2012-07-01
Angular,0.0002382087,2012-08-01
Angular,0.000453978,2012-09-01
Angular,0.000102459,2012-10-01
Angular,9.73994350832765E-005,2012-11-01
Angular,0.0001048328,2012-12-01
Angular,0.0006878255,2013-01-01
Angular,0.0002102386,2013-02-01
Angular,0.0004771448,2013-03-01
Angular,0.0005867397,2013-04-01
Angular,0.000605388,2013-05-01
Angular,0.0009263548,2013-06-01
Angular,0.0015302999,2013-07-01
Angular,0.0010670288,2013-08-01
Angular,0.0014005602,2013-09-01
Angular,0.0010727695,2013-10-01
Angular,0.0023337223,2013-11-01
Angular,0.0016835017,2013-12-01
Angular,0.0019938523,2014-01-01
Angular,0.0097225715,2014-02-01
Angular,0.0091175771,2014-03-01
Angular,0.0081138895,2014-04-01
Angular,0.0087225438,2014-05-01
Angular,0.0055762082,2014-06-01
Angular,0.0045440051,2014-07-01
Angular,0.0045022086,2014-08-01
Angular,0.0038022814,2014-09-01
Angular,0.0049472296,2014-10-01
Angular,0.0058788948,2014-11-01
Angular,0.0038222289,2014-12-01
Angular,0.0026271345,2015-01-01
Angular,0.0034757035,2015-02-01
Angular,0.0106126915,2015-03-01
Angular,0.0081691773,2015-04-01
Angular,0.0032629331,2015-05-01
Angular,0.0048945993,2015-06-01
Angular,0.0048574039,2015-07-01
Angular,0.0056594312,2015-08-01
Node,0.0009643202,2010-01-01
Node,0.0017271157,2010-02-01
Node,0.0027567195,2010-03-01
Node,0.0006675567,2010-04-01
Node,0.0026423252,2010-05-01
Node,0.0004663092,2010-06-01
Node,0.0025647602,2010-07-01
Node,0.0009035464,2010-08-01
Node,0.0020881186,2010-09-01
Node,0.0014821088,2010-10-01
Node,0.0018101368,2010-11-01
Node,0.0018711019,2010-12-01
Node,0.0020024646,2011-01-01
Node,0.0031429352,2011-02-01
Node,0.002773089,2011-03-01
Node,0.0024051309,2011-04-01
Node,0.0034852921,2011-05-01
Node,0.0035661584,2011-06-01
Node,0.0028220686,2011-07-01
Node,0.0050204783,2011-08-01
Node,0.0063527653,2011-09-01
Node,0.0023648649,2011-10-01
Node,0.0033444816,2011-11-01
Node,0.0026451694,2011-12-01
Node,0.0039706413,2012-01-01
Node,0.003133515,2012-02-01
Node,0.0027679362,2012-03-01
Node,0.0021372894,2012-04-01
Node,0.0027989822,2012-05-01
Node,0.0024099025,2012-06-01
Node,0.0037574501,2012-07-01
Node,0.0039304431,2012-08-01
Node,0.0032913404,2012-09-01
Node,0.0018442623,2012-10-01
Node,0.0024349859,2012-11-01
Node,0.0016773247,2012-12-01
Node,0.0015721725,2013-01-01
Node,0.0027331021,2013-02-01
Node,0.0027674396,2013-03-01
Node,0.0032270683,2013-04-01
Node,0.0020179598,2013-05-01
Node,0.0012042612,2013-06-01
Node,0.0027545399,2013-07-01
Node,0.0023280629,2013-08-01
Node,0.0027135854,2013-09-01
Node,0.0032183086,2013-10-01
Node,0.004577686,2013-11-01
Node,0.0022446689,2013-12-01
Node,0.0038215502,2014-01-01
Node,0.003101165,2014-02-01
Node,0.0026163482,2014-03-01
Node,0.0025079295,2014-04-01
Node,0.0028546507,2014-05-01
Node,0.0027536831,2014-06-01
Node,0.002471301,2014-07-01
Node,0.0018688413,2014-08-01
Node,0.0031800899,2014-09-01
Node,0.0034300792,2014-10-01
Node,0.0042621987,2014-11-01
Node,0.0031477179,2014-12-01
Node,0.0041909051,2015-01-01
Node,0.0050798743,2015-02-01
Node,0.0037746171,2015-03-01
Node,0.0044611819,2015-04-01
Node,0.0059326056,2015-05-01
Node,0.0023916792,2015-06-01
Node,0.0025489347,2015-07-01
Node,0.0022924278,2015-08-01
Mongo,0.0023143684,2010-01-01
Mongo,0.0039476931,2010-02-01
Mongo,0.0043648059,2010-03-01
Mongo,0.0048954161,2010-04-01
Mongo,0.0033629594,2010-05-01
Mongo,0.0025647004,2010-06-01
Mongo,0.0046165684,2010-07-01
Mongo,0.0038400723,2010-08-01
Mongo,0.0041762372,2010-09-01
Mongo,0.0033876773,2010-10-01
Mongo,0.0014078842,2010-11-01
Mongo,0.0014553015,2010-12-01
Mongo,0.0026186075,2011-01-01
Mongo,0.0006832468,2011-02-01
Mongo,0.0013262599,2011-03-01
Mongo,0.0016034206,2011-04-01
Mongo,0.0029276453,2011-05-01
Mongo,0.0011067388,2011-06-01
Mongo,0.0015521377,2011-07-01
Mongo,0.0007927071,2011-08-01
Mongo,0.0014947683,2011-09-01
Mongo,0.0007882883,2011-10-01
Mongo,0.0005972289,2011-11-01
Mongo,0.0007557627,2011-12-01
Mongo,0.0009625797,2012-01-01
Mongo,0.001226158,2012-02-01
Mongo,0.0014393268,2012-03-01
Mongo,0.0010057833,2012-04-01
Mongo,0.0010178117,2012-05-01
Mongo,0.0013144923,2012-06-01
Mongo,0.0007774035,2012-07-01
Mongo,0.0009528347,2012-08-01
Mongo,0.0007944615,2012-09-01
Mongo,0.0009221311,2012-10-01
Mongo,0.000681796,2012-11-01
Mongo,0.000524164,2012-12-01
Mongo,0.0006878255,2013-01-01
Mongo,0.0009460738,2013-02-01
Mongo,0.0004771448,2013-03-01
Mongo,0.0005867397,2013-04-01
Mongo,0.0019170619,2013-05-01
Mongo,0.0009263548,2013-06-01
Mongo,0.00112222,2013-07-01
Mongo,0.0011640314,2013-08-01
Mongo,0.0012254902,2013-09-01
Mongo,0.0008045772,2013-10-01
Mongo,0.0011668611,2013-11-01
Mongo,0.0011223345,2013-12-01
Mongo,0.0001661544,2014-01-01
Mongo,0.000921968,2014-02-01
Mongo,0.0003964164,2014-03-01
Mongo,0.0008851516,2014-04-01
Mongo,0.0003964793,2014-05-01
Mongo,0.0006195787,2014-06-01
Mongo,0.0005580357,2014-07-01
Mongo,0.000764526,2014-08-01
Mongo,0.0004839267,2014-09-01
Mongo,0.0001319261,2014-10-01
Mongo,0.0003674309,2014-11-01
Mongo,0.0002997827,2014-12-01
Mongo,0,2015-01-01
Mongo,0.0003342023,2015-02-01
Mongo,0.0003829322,2015-03-01
Mongo,0.000811124,2015-04-01
Mongo,0.0004746084,2015-05-01
Mongo,0.0002224818,2015-06-01
Mongo,0.0005290242,2015-07-01
Mongo,7.16383695107099E-005,2015-08-01
